# E4 addendum: does dictionary COHERENCE drive the l0/l1/greedy gaps?
# Subdictionary chosen by a target-independent greedy decorrelation sweep.
# coherence sweep: target=cartoon n=32 N=3, full D=768
 mu_max     D    coh  l0 exact    greedy  l1 debias | greedy-l0    l1-l0 |  supp∩
   0.99   768  0.985   11.8558   16.0699    29.0599 |    35.54%  145.11% |  1/3  
   0.90   470  0.900   15.2265   17.4988    29.0599 |    14.92%   90.85% |  1/3  
   0.75   103  0.750   22.1993   22.1993    26.4772 |    -0.00%   19.27% |  2/3  
   0.60    73  0.599   33.1585   37.8255    42.6336 |    14.07%   28.58% |  1/3  
   0.45    59  0.448   46.6058   46.6058    49.1170 |    -0.00%    5.39% |  2/3  

# coherence sweep: target=ascent n=32 N=3, full D=768
 mu_max     D    coh  l0 exact    greedy  l1 debias | greedy-l0    l1-l0 |  supp∩
   0.99   768  0.985   22.9376   28.0915    37.9527 |    22.47%   65.46% |  0/3  
   0.90   470  0.900   27.4826   27.5218    42.6969 |     0.14%   55.36% |  1/3  
   0.75   103  0.750   36.4083   36.4083    50.4934 |    -0.00%   38.69% |  1/3  
   0.60    73  0.599   41.1038   41.1038    41.1038 |    -0.00%   -0.00% |  3/3  
   0.45    59  0.448   43.5429   43.5429    43.5429 |    -0.00%   -0.00% |  3/3  

# coherence sweep: target=face n=32 N=3, full D=768
 mu_max     D    coh  l0 exact    greedy  l1 debias | greedy-l0    l1-l0 |  supp∩
   0.99   768  0.985   18.1306   23.5250    32.8444 |    29.75%   81.15% |  0/3  
   0.90   470  0.900   25.5938   26.8405    41.5283 |     4.87%   62.26% |  0/3  
   0.75   103  0.750   28.8265   28.8265    29.4246 |    -0.00%    2.07% |  2/3  
   0.60    73  0.599   42.7327   45.9690    61.0984 |     7.57%   42.98% |  1/3  
   0.45    59  0.448   47.5187   47.5187    51.3700 |    -0.00%    8.10% |  2/3  

